name,description,brand,price,compareAtPrice,stock,categoryName,imageUrls,specs
"14"" Laptop Sleeve – Leather, Black","Protect your laptop with this 14-inch black leather laptop sleeve. This laptop sleeve offers reliable protection against scratches, dust, and minor shocks. It is lightweight, slim, and easy to carry on its own or inside a backpack. The soft inner lining helps keep your laptop safe while the smooth zip closure allows quick access. Ideal for students, professionals, and anyone looking for a simple protective laptop case.

Keywords: laptop sleeve in Kenya, padded laptop sleeve, slim laptop sleeve, waterproof laptop sleeve, 13 inch laptop sleeve, 14 inch laptop sleeve, 15.6 inch laptop sleeve.",Unknown,2500.0,,10,Bags,data/Bage sleeve bag leather@2500.jpeg,{}
"15.6"" Laptop Bag – Anti-theft, Black","Protect your laptop with this durable 15.6-inch black anti-theft laptop bag. This high-quality laptop bag is designed for safe and convenient carrying of your laptop and accessories. It features a padded laptop compartment, durable zip closure, comfortable handles, and extra pockets for charger, mouse, documents, and other essentials. Suitable for office use, school, travel, and daily business needs. Fits many laptop brands including HP, Dell, Lenovo, Acer, Asus, and Toshiba.

Keywords: laptop bag in Kenya, waterproof laptop bag, office laptop bag, school laptop bag, travel laptop bag, padded laptop bag.",Unknown,4000.0,,10,Bags,data/Black biowang antitheft @4000.jpeg,{}
"15.6"" Laptop Bag – Waterproof, Padded, Black","Protect your laptop with this durable 15.6-inch black waterproof, padded laptop bag. This high-quality laptop bag is designed for safe and convenient carrying of your laptop and accessories. It features a padded laptop compartment, durable zip closure, comfortable handles, and extra pockets for charger, mouse, documents, and other essentials. Suitable for office use, school, travel, and daily business needs. Fits many laptop brands including HP, Dell, Lenovo, Acer, Asus, and Toshiba.

Keywords: laptop bag in Kenya, waterproof laptop bag, office laptop bag, school laptop bag, travel laptop bag, padded laptop bag.",Unknown,3000.0,,10,Bags,data/Black business king@3000.jpeg,{}
"15.6"" Laptop Bag – Waterproof, Padded, Black","Protect your laptop with this durable 15.6-inch black waterproof, padded laptop bag. This high-quality laptop bag is designed for safe and convenient carrying of your laptop and accessories. It features a padded laptop compartment, durable zip closure, comfortable handles, and extra pockets for charger, mouse, documents, and other essentials. Suitable for office use, school, travel, and daily business needs. Fits many laptop brands including HP, Dell, Lenovo, Acer, Asus, and Toshiba.

Keywords: laptop bag in Kenya, waterproof laptop bag, office laptop bag, school laptop bag, travel laptop bag, padded laptop bag.",Unknown,3500.0,,10,Bags,data/Black haoyu backpack@3500.jpeg,{}
"15.6"" Laptop Bag – Waterproof, Padded, Black","Protect your laptop with this durable 15.6-inch black waterproof, padded laptop bag. This high-quality laptop bag is designed for safe and convenient carrying of your laptop and accessories. It features a padded laptop compartment, durable zip closure, comfortable handles, and extra pockets for charger, mouse, documents, and other essentials. Suitable for office use, school, travel, and daily business needs. Fits many laptop brands including HP, Dell, Lenovo, Acer, Asus, and Toshiba.

Keywords: laptop bag in Kenya, waterproof laptop bag, office laptop bag, school laptop bag, travel laptop bag, padded laptop bag.",Unknown,4000.0,,10,Bags,data/Black nuoxiya 2 way side@4k.jpeg,{}
"15.6"" Laptop Bag – Waterproof, Padded, Black","Protect your laptop with this durable 15.6-inch black waterproof, padded laptop bag. This high-quality laptop bag is designed for safe and convenient carrying of your laptop and accessories. It features a padded laptop compartment, durable zip closure, comfortable handles, and extra pockets for charger, mouse, documents, and other essentials. Suitable for office use, school, travel, and daily business needs. Fits many laptop brands including HP, Dell, Lenovo, Acer, Asus, and Toshiba.

Keywords: laptop bag in Kenya, waterproof laptop bag, office laptop bag, school laptop bag, travel laptop bag, padded laptop bag.",Unknown,5000.0,,10,Bags,data/Black nuoxiya 3 way backpack @5k.jpeg,{}
"15.6"" Laptop Bag – Waterproof, Padded, Black","Protect your laptop with this durable 15.6-inch black waterproof, padded laptop bag. This high-quality laptop bag is designed for safe and convenient carrying of your laptop and accessories. It features a padded laptop compartment, durable zip closure, comfortable handles, and extra pockets for charger, mouse, documents, and other essentials. Suitable for office use, school, travel, and daily business needs. Fits many laptop brands including HP, Dell, Lenovo, Acer, Asus, and Toshiba.

Keywords: laptop bag in Kenya, waterproof laptop bag, office laptop bag, school laptop bag, travel laptop bag, padded laptop bag.",Unknown,4000.0,,10,Bags,data/Black nuoxiya 3 way medium @4k.jpeg,{}
"14"" Laptop Sleeve – Leather, Black","Protect your laptop with this 14-inch black leather laptop sleeve. This laptop sleeve offers reliable protection against scratches, dust, and minor shocks. It is lightweight, slim, and easy to carry on its own or inside a backpack. The soft inner lining helps keep your laptop safe while the smooth zip closure allows quick access. Ideal for students, professionals, and anyone looking for a simple protective laptop case.

Keywords: laptop sleeve in Kenya, padded laptop sleeve, slim laptop sleeve, waterproof laptop sleeve, 13 inch laptop sleeve, 14 inch laptop sleeve, 15.6 inch laptop sleeve.",Unknown,2500.0,,10,Bags,data/Black pu leather sleeve@2500.jpeg,{}
"14"" Laptop Sleeve – Padded, Protective, Black","Protect your laptop with this 14-inch black padded, protective laptop sleeve. This laptop sleeve offers reliable protection against scratches, dust, and minor shocks. It is lightweight, slim, and easy to carry on its own or inside a backpack. The soft inner lining helps keep your laptop safe while the smooth zip closure allows quick access. Ideal for students, professionals, and anyone looking for a simple protective laptop case.

Keywords: laptop sleeve in Kenya, padded laptop sleeve, slim laptop sleeve, waterproof laptop sleeve, 13 inch laptop sleeve, 14 inch laptop sleeve, 15.6 inch laptop sleeve.",Unknown,2000.0,,10,Bags,data/Black sleeve bag with handles@2000.jpeg,{}
"15.6"" Laptop Bag – Anti-theft, Blue","Protect your laptop with this durable 15.6-inch blue anti-theft laptop bag. This high-quality laptop bag is designed for safe and convenient carrying of your laptop and accessories. It features a padded laptop compartment, durable zip closure, comfortable handles, and extra pockets for charger, mouse, documents, and other essentials. Suitable for office use, school, travel, and daily business needs. Fits many laptop brands including HP, Dell, Lenovo, Acer, Asus, and Toshiba.

Keywords: laptop bag in Kenya, waterproof laptop bag, office laptop bag, school laptop bag, travel laptop bag, padded laptop bag.",Unknown,4000.0,,10,Bags,data/Blue biowang antitheft@4k.jpeg,{}
"15.6"" Laptop Bag – Waterproof, Padded, Blue","Protect your laptop with this durable 15.6-inch blue waterproof, padded laptop bag. This high-quality laptop bag is designed for safe and convenient carrying of your laptop and accessories. It features a padded laptop compartment, durable zip closure, comfortable handles, and extra pockets for charger, mouse, documents, and other essentials. Suitable for office use, school, travel, and daily business needs. Fits many laptop brands including HP, Dell, Lenovo, Acer, Asus, and Toshiba.

Keywords: laptop bag in Kenya, waterproof laptop bag, office laptop bag, school laptop bag, travel laptop bag, padded laptop bag.",Unknown,3500.0,,10,Bags,data/Blue haoyu laptop backpack@3500.jpeg,{}
"15.6"" Laptop Bag – Waterproof, Padded, Blue","Protect your laptop with this durable 15.6-inch blue waterproof, padded laptop bag. This high-quality laptop bag is designed for safe and convenient carrying of your laptop and accessories. It features a padded laptop compartment, durable zip closure, comfortable handles, and extra pockets for charger, mouse, documents, and other essentials. Suitable for office use, school, travel, and daily business needs. Fits many laptop brands including HP, Dell, Lenovo, Acer, Asus, and Toshiba.

Keywords: laptop bag in Kenya, waterproof laptop bag, office laptop bag, school laptop bag, travel laptop bag, padded laptop bag.",Unknown,4500.0,,10,Bags,data/Blue nuoxiya 2 way side@4500.jpeg,{}
"14"" Laptop Sleeve – Leather, Blue","Protect your laptop with this 14-inch blue leather laptop sleeve. This laptop sleeve offers reliable protection against scratches, dust, and minor shocks. It is lightweight, slim, and easy to carry on its own or inside a backpack. The soft inner lining helps keep your laptop safe while the smooth zip closure allows quick access. Ideal for students, professionals, and anyone looking for a simple protective laptop case.

Keywords: laptop sleeve in Kenya, padded laptop sleeve, slim laptop sleeve, waterproof laptop sleeve, 13 inch laptop sleeve, 14 inch laptop sleeve, 15.6 inch laptop sleeve.",Unknown,2000.0,,10,Bags,data/Blue sleeve leather @2000.jpeg,{}
"15.6"" Laptop Bag – Anti-theft, Brown","Protect your laptop with this durable 15.6-inch brown anti-theft laptop bag. This high-quality laptop bag is designed for safe and convenient carrying of your laptop and accessories. It features a padded laptop compartment, durable zip closure, comfortable handles, and extra pockets for charger, mouse, documents, and other essentials. Suitable for office use, school, travel, and daily business needs. Fits many laptop brands including HP, Dell, Lenovo, Acer, Asus, and Toshiba.

Keywords: laptop bag in Kenya, waterproof laptop bag, office laptop bag, school laptop bag, travel laptop bag, padded laptop bag.",Unknown,4000.0,,10,Bags,data/Brown biowang antitheft@4000.jpeg,{}
"15.6"" Laptop Bag – Waterproof, Padded, Brown","Protect your laptop with this durable 15.6-inch brown waterproof, padded laptop bag. This high-quality laptop bag is designed for safe and convenient carrying of your laptop and accessories. It features a padded laptop compartment, durable zip closure, comfortable handles, and extra pockets for charger, mouse, documents, and other essentials. Suitable for office use, school, travel, and daily business needs. Fits many laptop brands including HP, Dell, Lenovo, Acer, Asus, and Toshiba.

Keywords: laptop bag in Kenya, waterproof laptop bag, office laptop bag, school laptop bag, travel laptop bag, padded laptop bag.",Unknown,3000.0,,10,Bags,data/Brown business king@3k.jpeg,{}
